food_name,serving_description,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,calcium_mg,iron_mg,vitamin_c_mg
"Milk, Whole","8 fl oz (240ml)",150,8.0,12.0,8.0,0.0,12.0,105,276,0.1,0.0
"Cheddar Cheese, Sharp","1 oz (28g)",113,7.0,0.4,9.3,0.0,0.1,174,204,0.2,0.0
"Greek Yogurt, Plain","6 oz (170g)",100,18.0,6.0,0.0,0.0,6.0,65,200,0.1,0.0
"Mozzarella Cheese","1 oz (28g)",85,6.3,0.6,6.3,0.0,0.4,138,183,0.1,0.0
"Cottage Cheese, Low Fat","1/2 cup (113g)",81,14.0,3.1,1.2,0.0,2.7,459,69,0.2,0.0
"Cream Cheese","1 oz (28g)",99,2.2,0.8,9.9,0.0,0.5,84,23,0.3,0.0
"Butter, Unsalted","1 tbsp (14g)",102,0.1,0.0,11.5,0.0,0.0,2,3,0.0,0.0
"Swiss Cheese","1 oz (28g)",108,7.6,1.0,7.9,0.0,0.4,54,224,0.1,0.0
"Parmesan Cheese, Grated","1 tbsp (5g)",22,2.0,0.2,1.4,0.0,0.0,76,69,0.0,0.0
"Ricotta Cheese, Part Skim","1/2 cup (124g)",171,14.0,6.4,9.8,0.0,0.3,155,337,0.5,0.0
"Goat Cheese, Soft","1 oz (28g)",76,5.3,0.3,6.0,0.0,0.3,104,40,0.2,0.0
"Feta Cheese","1 oz (28g)",75,4.0,1.2,6.0,0.0,1.2,316,140,0.2,0.0
"Blue Cheese","1 oz (28g)",100,6.1,0.7,8.1,0.0,0.5,395,150,0.1,0.0
"Brie Cheese","1 oz (28g)",95,5.9,0.1,7.9,0.0,0.1,178,52,0.1,0.0
"Provolone Cheese","1 oz (28g)",98,7.3,0.6,7.3,0.0,0.4,248,214,0.1,0.0
"Monterey Jack Cheese","1 oz (28g)",104,6.9,0.2,8.6,0.0,0.2,152,211,0.2,0.0
"American Cheese, Processed","1 slice (21g)",79,4.7,2.1,6.3,0.0,1.6,274,141,0.1,0.0
"Yogurt, Vanilla","6 oz (170g)",150,5.0,25.0,4.0,0.0,23.0,75,150,0.1,0.0
"Sour Cream","2 tbsp (30g)",52,0.6,1.0,5.1,0.0,1.0,12,28,0.0,0.2
"Heavy Cream","1 tbsp (15g)",51,0.3,0.4,5.4,0.0,0.4,6,10,0.0,0.1
"Half and Half","2 tbsp (30ml)",39,0.9,1.3,3.5,0.0,1.3,12,32,0.0,0.3
"Buttermilk","8 fl oz (240ml)",98,8.1,11.7,2.2,0.0,11.7,257,284,0.1,2.5
"Cream Cheese, Low Fat","1 oz (28g)",69,3.0,2.0,5.5,0.0,1.5,158,50,0.1,0.0
"String Cheese, Mozzarella","1 stick (28g)",80,8.0,1.0,6.0,0.0,0.0,200,200,0.0,0.0
"Yogurt, Greek Strawberry","6 oz (170g)",140,12.0,18.0,0.0,0.0,16.0,65,150,0.1,0.0
"Kefir, Plain","8 fl oz (240ml)",110,11.0,12.0,2.5,0.0,12.0,125,390,0.1,0.0
"Mascarpone Cheese","1 oz (28g)",124,2.3,0.9,12.8,0.0,0.9,15,33,0.1,0.0
"Gouda Cheese","1 oz (28g)",101,7.1,0.6,7.8,0.0,0.6,232,198,0.1,0.0
"Colby Jack Cheese","1 oz (28g)",110,6.7,0.7,9.1,0.0,0.5,171,194,0.2,0.0
"Camembert Cheese","1 oz (28g)",85,5.6,0.1,6.9,0.0,0.1,239,110,0.1,0.0
"Romano Cheese, Grated","1 tbsp (5g)",19,1.6,0.2,1.3,0.0,0.0,70,59,0.0,0.0
"Pepper Jack Cheese","1 oz (28g)",110,6.9,0.4,9.0,0.0,0.4,178,200,0.1,0.0
"Asiago Cheese","1 oz (28g)",110,8.0,0.9,8.0,0.0,0.0,454,300,0.2,0.0
"Havarti Cheese","1 oz (28g)",106,5.7,0.4,9.7,0.0,0.4,215,119,0.1,0.0
"Muenster Cheese","1 oz (28g)",104,6.6,0.3,8.5,0.0,0.3,178,203,0.1,0.0
"Neufchatel Cheese","1 oz (28g)",74,2.8,0.8,6.6,0.0,0.8,113,21,0.2,0.0
"Cottage Cheese, Full Fat","1/2 cup (113g)",110,12.0,4.0,5.0,0.0,4.0,400,80,0.2,0.0
"Yogurt, Greek Honey","6 oz (170g)",170,15.0,20.0,0.0,0.0,18.0,65,200,0.1,0.0
"Whipped Cream","2 tbsp (8g)",52,0.3,0.4,5.6,0.0,0.4,6,6,0.0,0.0
"Ice Cream, Vanilla","1/2 cup (66g)",137,2.3,16.0,7.3,0.5,14.0,53,84,0.1,0.5
"Frozen Yogurt, Vanilla","1/2 cup (72g)",117,2.9,17.9,4.0,0.0,17.4,63,106,0.2,0.4
"Milk, Chocolate","8 fl oz (240ml)",208,7.9,25.9,8.5,2.0,24.0,150,280,0.6,2.3
"Pudding, Chocolate","1/2 cup (136g)",158,4.4,22.7,5.8,1.3,21.6,146,133,0.5,0.9
"Custard, Vanilla","1/2 cup (141g)",147,4.0,15.7,7.3,0.0,15.7,109,113,0.5,0.6
"Cheese Sauce","1/4 cup (63g)",110,4.0,4.0,8.0,0.0,2.0,522,118,0.2,0.0
"Queso Fresco","1 oz (28g)",80,5.4,0.9,6.0,0.0,0.9,166,125,0.1,0.0
"Paneer Cheese","1 oz (28g)",83,6.4,1.2,6.0,0.0,1.2,3,156,0.0,0.0
"Labneh","2 tbsp (30g)",50,3.0,2.0,4.0,0.0,2.0,80,90,0.0,0.0
"Burrata Cheese","1 oz (28g)",90,6.0,1.0,7.0,0.0,0.0,160,150,0.1,0.0
"Limburger Cheese","1 oz (28g)",93,5.7,0.1,7.7,0.0,0.1,227,141,0.0,0.0
"Salmon, Atlantic","3.5 oz (100g)",208,25.4,0.0,13.4,0.0,0.0,59,12,0.8,0.0
"Tuna, Yellowfin","3.5 oz (100g)",144,25.0,0.0,4.9,0.0,0.0,39,8,1.0,0.0
"Shrimp, Large","3.5 oz (100g)",99,18.0,0.9,1.4,0.0,0.0,111,52,1.8,0.0
"Cod, Atlantic","3.5 oz (100g)",105,23.0,0.0,0.9,0.0,0.0,78,18,0.4,1.0
"Tilapia, Fillet","3.5 oz (100g)",129,23.0,0.0,2.7,0.0,0.0,52,10,0.6,0.0
"Halibut, Pacific","3.5 oz (100g)",140,27.0,0.0,2.9,0.0,0.0,69,7,1.1,0.0
"Mahi Mahi","3.5 oz (100g)",109,23.0,0.0,0.9,0.0,0.0,96,18,1.2,0.0
"Crab, Dungeness","3.5 oz (100g)",110,22.0,1.0,1.8,0.0,0.0,420,89,0.5,7.6
"Lobster, American","3.5 oz (100g)",98,20.0,0.5,0.6,0.0,0.0,423,88,0.4,0.0
"Scallops, Sea","3.5 oz (100g)",111,20.5,3.2,0.8,0.0,0.0,667,24,3.0,0.0
"Mussels, Blue","3.5 oz (100g)",172,24.0,7.4,4.5,0.0,0.0,369,33,6.7,13.6
"Oysters, Eastern","3.5 oz (100g)",81,9.5,4.7,2.3,0.0,0.0,417,45,16.5,4.6
"Sardines, Canned in Oil","3.5 oz (100g)",208,25.0,0.0,11.5,0.0,0.0,307,382,2.9,0.0
"Mackerel, Atlantic","3.5 oz (100g)",205,19.0,0.0,13.9,0.0,0.0,83,12,1.6,0.0
"Trout, Rainbow","3.5 oz (100g)",148,21.0,0.0,6.6,0.0,0.0,67,67,2.1,0.0
"Bass, Striped","3.5 oz (100g)",124,23.0,0.0,3.0,0.0,0.0,88,16,1.0,0.0
"Flounder, Atlantic","3.5 oz (100g)",91,19.0,0.0,1.2,0.0,0.0,81,23,0.4,0.0
"Sole, Dover","3.5 oz (100g)",91,19.0,0.0,1.2,0.0,0.0,81,61,0.4,0.0
"Snapper, Red","3.5 oz (100g)",128,26.0,0.0,1.7,0.0,0.0,67,40,0.2,1.6
"Grouper, Black","3.5 oz (100g)",118,25.0,0.0,1.3,0.0,0.0,56,27,1.0,0.0
"Tuna, Canned in Water","3.5 oz (100g)",116,25.5,0.0,0.8,0.0,0.0,247,4,1.0,0.0
"Salmon, Canned","3.5 oz (100g)",142,20.0,0.0,6.3,0.0,0.0,307,212,0.9,0.0
"Anchovies, Canned","1 oz (28g)",42,5.8,0.0,1.9,0.0,0.0,734,46,0.9,0.0
"Clams, Littleneck","3.5 oz (100g)",86,15.0,3.0,1.0,0.0,0.0,601,46,24.0,13.8
"Squid, Fresh","3.5 oz (100g)",175,18.0,7.5,7.5,0.0,0.0,44,32,0.7,4.6
"Octopus, Fresh","3.5 oz (100g)",164,30.0,4.4,1.4,0.0,0.0,230,144,9.5,5.3
"Swordfish, Steak","3.5 oz (100g)",155,25.0,0.0,5.1,0.0,0.0,90,4,0.9,1.0
"Monkfish, Tail","3.5 oz (100g)",97,18.0,0.0,2.0,0.0,0.0,23,9,0.4,1.0
"Sea Bass, Chilean","3.5 oz (100g)",124,23.0,0.0,2.9,0.0,0.0,87,13,0.3,0.0
"Pollock, Alaska","3.5 oz (100g)",111,23.0,0.0,1.1,0.0,0.0,99,77,0.6,0.0
"Haddock, Atlantic","3.5 oz (100g)",112,24.0,0.0,0.9,0.0,0.0,87,42,1.4,0.0
"Catfish, Channel","3.5 oz (100g)",135,18.0,0.0,6.8,0.0,0.0,43,14,0.3,0.0
"Perch, Yellow","3.5 oz (100g)",117,25.0,0.0,1.2,0.0,0.0,76,103,1.1,1.4
"Pike, Northern","3.5 oz (100g)",113,25.0,0.0,0.9,0.0,0.0,42,62,0.7,4.3
"Whiting, Silver","3.5 oz (100g)",116,23.0,0.0,1.7,0.0,0.0,80,51,0.4,0.0
"Rockfish, Pacific","3.5 oz (100g)",121,24.0,0.0,2.0,0.0,0.0,79,12,0.5,0.0
"Pompano, Florida","3.5 oz (100g)",164,18.0,0.0,9.5,0.0,0.0,65,23,0.6,0.0
"Bluefish, Atlantic","3.5 oz (100g)",159,26.0,0.0,5.4,0.0,0.0,76,9,0.5,0.0
"Wahoo, Pacific","3.5 oz (100g)",134,28.0,0.0,1.9,0.0,0.0,96,18,1.1,0.0
"Barramundi, Asian","3.5 oz (100g)",140,22.0,0.0,5.0,0.0,0.0,51,30,0.4,0.0
"Eel, American","3.5 oz (100g)",236,24.0,0.0,15.0,0.0,0.0,51,20,0.5,1.8
"Herring, Atlantic","3.5 oz (100g)",203,23.0,0.0,11.6,0.0,0.0,90,74,1.2,0.7
"Smelt, Rainbow","3.5 oz (100g)",124,23.0,0.0,2.4,0.0,0.0,77,77,1.2,0.0
"Crayfish, Freshwater","3.5 oz (100g)",87,18.0,0.0,1.4,0.0,0.0,97,43,0.9,0.0
"Abalone, Red","3.5 oz (100g)",105,17.0,6.0,0.8,0.0,0.0,301,31,3.2,2.0
"Conch, Queen","3.5 oz (100g)",130,26.3,1.7,1.2,0.0,0.0,153,102,21.0,0.0
"Sea Urchin","3.5 oz (100g)",172,16.0,2.5,4.8,0.0,0.0,190,7,1.9,1.4
"Caviar, Black","1 tbsp (16g)",42,4.0,0.6,2.9,0.0,0.0,240,44,1.8,0.0
"Salmon Roe","1 tbsp (16g)",40,6.0,0.6,1.9,0.0,0.0,249,4,0.3,0.0
"Crab Cakes, Frozen","1 cake (60g)",160,11.0,8.0,10.0,1.0,2.0,450,60,1.0,2.0
"Fish Sticks, Frozen","4 sticks (76g)",200,9.0,17.0,11.0,1.0,2.0,380,20,0.7,0.0
"Shrimp, Breaded","3 oz (85g)",206,18.0,10.0,10.4,0.4,0.0,292,57,1.1,0.0
"Bread, White Sliced","1 slice (28g)",79,2.3,14.2,1.1,0.8,1.4,170,33,0.9,0.0
"Bread, Whole Wheat","1 slice (28g)",81,3.6,13.8,1.9,1.9,1.4,144,30,0.9,0.0
"Rice, Brown Long Grain","1 cup cooked (195g)",216,5.0,45.0,1.8,3.5,0.7,10,20,0.8,0.0
"Rice, White Long Grain","1 cup cooked (158g)",205,4.3,45.0,0.4,0.6,0.1,2,16,0.8,0.0
"Oats, Rolled","1 cup cooked (234g)",147,5.9,25.0,2.8,4.0,0.6,9,21,2.1,0.0
"Quinoa, Cooked","1 cup (185g)",222,8.1,39.4,3.6,5.2,0.9,13,31,2.8,0.0
"Pasta, Whole Wheat","1 cup cooked (140g)",174,7.5,37.2,0.8,6.3,0.8,4,21,1.5,0.0
"Pasta, Regular","1 cup cooked (140g)",220,8.1,43.2,1.3,2.5,0.8,1,10,1.8,0.0
"Barley, Pearl","1 cup cooked (157g)",193,3.5,44.3,0.7,6.0,0.4,5,17,2.1,0.0
"Bulgur Wheat","1 cup cooked (182g)",151,5.6,33.8,0.4,8.2,0.2,9,18,1.7,0.0
"Millet, Cooked","1 cup (174g)",207,6.1,41.2,1.7,2.3,0.2,5,8,1.1,0.0
"Buckwheat, Cooked","1 cup (168g)",155,5.7,33.5,1.0,4.5,1.5,7,12,1.3,0.0
"Amaranth, Cooked","1 cup (246g)",251,9.3,46.0,3.9,5.2,0.0,15,116,5.2,4.2
"Teff, Cooked","1 cup (252g)",255,9.8,50.0,1.9,7.1,0.0,20,123,7.6,0.0
"Farro, Cooked","1 cup (194g)",220,8.0,44.0,2.5,5.0,1.0,10,16,2.0,0.0
"Spelt, Cooked","1 cup (194g)",246,10.7,51.3,1.7,7.6,0.0,10,19,4.2,0.0
"Wild Rice, Cooked","1 cup (164g)",166,6.5,35.0,0.6,3.0,1.2,5,5,1.0,0.0
"Jasmine Rice, Cooked","1 cup (140g)",205,4.3,45.0,0.4,0.6,0.1,2,16,0.8,0.0
"Basmati Rice, Cooked","1 cup (163g)",210,4.4,45.6,0.5,0.7,0.0,2,20,1.5,0.0
"Arborio Rice, Cooked","1 cup (175g)",242,4.4,49.7,0.6,0.4,0.0,2,18,1.4,0.0
"Black Rice, Cooked","1 cup (195g)",227,5.0,52.0,2.0,2.0,0.0,6,18,1.8,0.0
"Red Rice, Cooked","1 cup (195g)",216,5.0,45.0,1.8,3.5,0.7,10,20,0.8,0.0
"Wheat Berries, Cooked","1 cup (172g)",300,11.0,62.0,2.0,10.0,0.0,4,28,3.0,0.0
"Rye Berries, Cooked","1 cup (169g)",251,10.0,52.0,1.9,15.1,0.0,6,24,2.7,0.0
"Kamut, Cooked","1 cup (172g)",227,9.8,47.5,1.4,7.4,0.0,12,17,3.5,0.0
"Freekeh, Cooked","1 cup (182g)",218,8.0,45.2,1.2,13.3,0.0,18,25,2.5,0.0
"Sorghum, Cooked","1 cup (192g)",217,6.7,46.7,1.9,6.7,0.0,12,17,4.4,0.0
"Cornmeal, Yellow","1 cup (122g)",442,10.0,94.0,4.4,8.9,0.6,43,7,4.2,0.0
"Polenta, Cooked","1 cup (240g)",73,1.7,16.0,0.2,0.7,0.0,1,2,0.4,0.0
"Grits, Cooked","1 cup (242g)",182,4.3,38.0,0.5,1.6,0.2,540,7,1.6,0.0
"Couscous, Cooked","1 cup (157g)",176,5.9,36.5,0.3,2.2,0.1,8,13,0.6,0.0
"Orzo, Cooked","1 cup (140g)",200,7.0,42.0,1.0,2.0,1.0,0,10,1.4,0.0
"Bread, Sourdough","1 slice (25g)",67,2.6,12.6,0.5,0.6,0.3,175,32,0.9,0.0
"Bread, Rye","1 slice (32g)",83,2.7,15.5,1.1,1.9,1.2,211,23,0.9,0.1
"Bread, Pumpernickel","1 slice (26g)",65,2.3,12.4,0.8,1.7,0.2,174,22,0.7,0.0
"Bagel, Plain","1 medium (71g)",195,7.5,38.0,1.2,1.6,5.1,379,53,2.5,0.0
"English Muffin, Whole Wheat","1 muffin (57g)",134,5.8,26.2,1.4,4.4,1.4,420,101,1.6,0.0
"Pita Bread, Whole Wheat","1 pita (60g)",170,6.3,35.2,1.7,4.7,0.6,340,10,1.9,0.0
"Tortilla, Corn","1 medium (24g)",52,1.4,10.7,0.7,1.5,0.2,11,46,0.4,0.0
"Tortilla, Flour","1 medium (32g)",104,2.7,18.3,2.5,1.2,0.6,191,44,1.2,0.0
"Crackers, Whole Wheat","5 crackers (16g)",67,1.4,10.7,2.5,1.8,0.0,115,6,0.5,0.0
"Rice Cakes, Brown Rice","1 cake (9g)",35,0.7,7.3,0.3,0.4,0.1,29,1,0.2,0.0
"Cereal, Oatmeal","1 cup cooked (234g)",147,5.9,25.0,2.8,4.0,0.6,9,21,2.1,0.0
"Cereal, Bran Flakes","1 cup (40g)",127,4.1,30.9,1.0,9.1,5.5,264,19,16.2,0.0
"Cereal, Granola","1/2 cup (61g)",298,9.1,32.5,16.0,5.5,14.7,15,56,2.4,1.0
"Muesli, Natural","1/2 cup (85g)",289,7.8,66.0,4.2,7.3,29.0,94,45,3.2,1.0
"Pancake Mix, Whole Grain","1/4 cup dry (40g)",160,6.0,30.0,3.0,4.0,4.0,480,150,2.7,0.0
"Waffle Mix, Whole Grain","1/4 cup dry (40g)",160,6.0,30.0,3.0,4.0,4.0,480,150,2.7,0.0
"Flour, All Purpose","1 cup (125g)",455,12.9,95.4,1.2,3.4,0.3,3,19,5.8,0.0
"Flour, Whole Wheat","1 cup (120g)",407,16.4,87.1,2.2,14.6,0.4,6,41,4.7,0.0
"Flour, Almond","1/4 cup (28g)",160,6.0,6.0,14.0,3.0,1.0,0,75,1.0,0.0
"Flour, Coconut","1/4 cup (30g)",120,4.0,18.0,3.0,12.0,6.0,20,20,1.8,0.0
"Protein Powder, Whey","1 scoop (30g)",120,25.0,3.0,1.0,0.0,2.0,135,120,0.5,0.0
"Protein Powder, Casein","1 scoop (30g)",110,24.0,3.0,1.0,0.0,0.0,180,600,0.4,0.0
"Protein Powder, Plant","1 scoop (30g)",110,20.0,8.0,3.0,3.0,1.0,200,40,3.6,0.0
"Creatine Monohydrate","1 tsp (5g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"BCAA Powder","1 scoop (10g)",40,10.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Glutamine Powder","1 scoop (5g)",20,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Fish Oil Capsules","2 capsules (2g)",18,0.2,0.0,2.0,0.0,0.0,0,0,0.0,0.0
"Vitamin D3","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Vitamin B12","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Vitamin C","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Magnesium","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Zinc","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Iron","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Calcium","1 tablet (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Multivitamin","1 tablet (1g)",5,0.0,1.0,0.0,0.0,0.0,0,162,18.0,60.0
"Omega-3","1 capsule (1g)",9,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0
"Probiotics","1 capsule (1g)",5,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0
"Collagen Powder","1 scoop (11g)",40,10.0,0.0,0.0,0.0,0.0,65,0,0.0,0.0
"Beta-Alanine","1 tsp (3g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Citrulline Malate","1 scoop (6g)",15,0.0,4.0,0.0,0.0,0.0,0,0,0.0,0.0
"Arginine","1 scoop (5g)",15,4.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Caffeine Pills","1 pill (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Green Tea Extract","1 capsule (1g)",0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
"Turmeric","1 capsule (1g)",2,0.1,0.4,0.1,0.1,0.0,1,8,0.2,1.2
"Ashwagandha","1 capsule (1g)",3,0.1,0.5,0.0,0.1,0.0,1,2,0.0,0.2
