id,iron_mg,magnesium_mg,zinc_mg,vitamin_d_mcg,vitamin_c_mg,vitamin_b12_mcg
167512,2.12,0,0,0,0,0
167513,1.93,0,0,0,0.1,0
167515,1.4,0,0,0,0,0
167516,6.04,19,0.48,0,0,2.86
167517,6.59,22,0.48,0,0,1.62
167518,6.53,20,0.58,0,0,2.44
167519,5.81,25,0.45,0,0,2.18
167520,2.6,23,1.25,0,0,0
167521,4.3,40,2.1,0,0,0
167522,0.91,8,0.19,0,5.7,0
167523,2.26,15,0.46,0,0,0
167524,6.4,16,0.4,0.1,0,1.7
167525,1.53,76,1.23,0,0,0
167526,0.98,11,0.8,0.3,0,0.35
167527,2.2,19,0.62,0,0,0
167528,2.12,15,0.42,0,0,0
167529,5.66,39,1.17,0,0,0
167530,7.38,25,0.66,0,0,0.46
167531,6.64,28,4.11,0,0,0.8
167532,4.89,26,0.95,0,0,0
167533,2.76,51,1.1,0,0,0
167534,0.95,10,0.45,0.3,0,0.17
167535,3.32,21,0.57,0,0,0
167536,5.42,51,8.11,0.3,0,0.99
167537,1.2,72,1.29,0,0,0
167538,1.54,77,1.06,0,1.7,0
167539,2.54,11,0.21,0,0,0
167540,0.75,14,0.19,0,56,0
167541,1.01,20,0.19,0,120,0
167542,2.95,97,2.03,0,0.9,0
167543,2.5,81,1.58,0,0,0
167544,2.44,72,1.3,0,0,0.18
167545,2.33,66,1.3,0,0,0.57
167546,0.71,66,1.03,0,0,0
167547,1.45,67,1.47,0,0.6,0
167548,1.94,88,1.7,0,0,0.45
167549,1.98,79,3.1,0,0.3,0
167550,1.87,159,3.99,0,0,0
167551,3.91,80,1.24,0,0,0
167552,1.74,35,0.58,0,0,0.01
167553,1.11,45,0.7,0,12,0
167554,1.4,55,0.71,0,9.5,0
167555,4.58,29,1.04,0,2.1,0
167556,2,41,0.92,0,0.5,0
167557,1.58,136,3,0,3,0
167558,1.52,84,1.38,0,0,0.36
167559,1.16,75,1.38,0,0.4,0
167560,1.38,87,1.43,0,0,0
167561,3.05,158,3.22,0,1.4,0
167562,1.27,0,0,0,0.7,0
167563,0.55,0,0,0,0,0
167564,0.2,7,0.49,0,0.8,0.06
167565,0.79,48,1,0,0,0.04
167566,0.8,22,0.4,0,0,0
167567,4.15,265,3.68,0,0,0
167568,17.4,327,9.63,0,0,0
167569,0.14,18,0.7,0,0.5,0.65
167570,1.7,110,2,0,0.3,0.2
167571,0.24,12,0.74,0,0.5,0.56
167572,0.19,14,0.73,0.1,1.2,0.47
167573,0.34,11,0.47,0.3,0,0.39
167574,0.38,9,0.47,0,0,0.36
167575,0.09,14,0.69,0.2,0.6,0.39
167576,0.06,14,0.53,0,0.9,0.5
167577,0.14,8,0.48,0,2.3,0.13
167578,0.22,20,0.48,0,0,0.14
167579,0.02,3,0.15,0,0,0.08
167580,0.41,24,0.56,0,0.1,0.07
167581,1.1,0,0,0,0.3,0
167582,0.63,43,0.72,0,0,0.06
167583,0.51,0,0,0,0,0
167584,0.09,0,0.22,0,0,0
167585,0.69,20,0.43,0.1,1.2,0.14
167586,0.9,0,0,0,0,0
167587,2.35,63,2.3,0,0,0.75
167588,0.06,12,0.33,0.8,0.8,0.3
167589,0.05,13,0.35,0.9,0.7,0.25
167590,0.89,42,0.77,0,0,0
167591,2.68,149,2.5,0,0,0
167592,2.81,40,0.66,0,0,0
167593,0.23,9,0.18,0,0,0
167594,4.73,23,0.97,0,0,0
167595,4.45,24,1.32,0,0,0
167596,4.87,28,1.04,0,0,0
167597,0.76,11,0.26,0,0,0
167598,0.53,25,0.51,0,0,0
167599,0.76,31,0.58,0,0,0
167600,1.64,96,1.35,0,0,0
167601,0.7,34,0.55,0,0,0
167602,66.38,692,2.53,3.1,29,2.25
167603,8.07,84,0.31,0.4,3.5,0.27
167604,0.48,19,0.38,0,4.9,0
167605,0.74,32,0.63,0,2.7,0
167606,0.77,26,0.38,0,7.5,0
167607,3.28,23,2.8,0,4,0
167608,0,0,0,0,11,0
167609,6.77,20,6.07,0,22.6,71
167610,12.9,0,0,0,0,0
167611,0,0,0,0.7,0,0
167612,20.7,0,0,0,0,0
167613,4.8,0,0,0,0,0
167614,1.8,0,0,0,0,0
167615,4.5,0,0,0,0,0
167616,2.6,0,0,0,0,0
167618,0.6,0,0,0,0,0
167619,4.7,0,0,0,0,0
167620,0.08,1,0.04,0,0.3,0
167621,43,0,0,0,0,0
167622,2.9,0,0,0,0,0
167623,0.5,0,0,0,0,0
167625,0,0,0,0,0,0
167626,8.6,0,0,0,0,0
167627,2.92,20,0.76,0,0,0
167628,2.91,133,2.91,0,0,0
167629,0.21,10,0.14,0,8.1,0
167630,0.95,9,0.19,0,0,0
167631,1.92,124,3.05,0,0,0
167633,1.11,55,1.46,0,0,0
167634,4.76,31,5.93,0,0,4.44
167635,4.04,18,0.35,0,0,0
167636,1.22,22,1.48,0,1.7,0.54
167637,1.1,24,1.55,0,0,0
167638,0.27,26,0.61,0,0,1.78
167639,0.55,28,0.41,0,0,8.52
167640,0.37,7,0.2,0,18.3,0
167641,0,0,0,0.7,0,0
167642,1.9,32,0.66,0,0,4.91
167643,5.95,30,2.1,0,12,56.4
167644,11,60,9.4,0,0,7.16
167645,1.5,39,1.1,0,0,7.43
167646,0.49,31,0.75,2,0,4.98
167647,0.55,29,0.77,1.2,0,3.65
167648,0.5,25,0.6,0,0,5.9
167649,2.61,22,3,0,0,1.15
167650,33,62,5,0,0,0
167651,3.76,27,5.06,0,0,1.67
167652,2.27,24,4.16,0,0,1.77
